product_code,product_name,branch_code,branch_name,region,current_stock,unit,recent_avg_daily_demand,forecast_avg_daily_demand,forecast_total_30d,trend,stock_coverage_days
03.L1.3060.7527.2,Gạch 30x60 MS 7527 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,10038,Viên,3.3459999999999996,3.3459999999999996,100.38,estimated,3000.0000000000005
03.L1.3060.7529.2,Gạch 30x60 MS 7529 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,4102,Viên,1.3673333333333335,1.3673333333333335,41.02,estimated,2999.9999999999995
03.L1.3060.7611.7,Gạch 30x60 MS 7611 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,865,Viên,0.28833333333333333,0.28833333333333333,8.65,estimated,3000.0
03.L1.3060.7611.8,Gạch 30x60 MS 7611 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1568,Viên,0.5226666666666666,0.5226666666666666,15.679999999999998,estimated,3000.0000000000005
03.L1.3060.7613.2,Gạch 30x60 MS 7613 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,756,Viên,0.252,0.252,7.5600000000000005,estimated,3000.0
03.L1.3060.7613.7,Gạch 30x60 MS 7613 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2646,Viên,0.882,0.882,26.46,estimated,3000.0
03.L1.3060.7614.1,Gạch 30x60 MS 7614 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2002,Viên,0.6673333333333333,0.6673333333333333,20.02,estimated,3000.0
03.L1.3060.7614.8,Gạch 30x60 MS 7614 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,406,Viên,0.13533333333333336,0.13533333333333336,4.0600000000000005,estimated,2999.9999999999995
03.L1.3060.7615.9,Gạch 30x60 MS 7615 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,336,Viên,0.112,0.112,3.36,estimated,3000.0
03.L1.3060.7616.1,Gạch 30x60 MS 7616 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2478,Viên,0.8260000000000001,0.8260000000000001,24.78,estimated,2999.9999999999995
03.L1.3060.7627.5,Gạch 30x60 MS 7627 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,26880,Viên,8.96,8.96,268.8,estimated,2999.9999999999995
03.L1.3060.7628.5,Gạch 30x60 MS 7628 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,644,Viên,0.21466666666666667,0.21466666666666667,6.44,estimated,3000.0
03.L1.3060.7630.5,Gạch 30x60 MS 7630 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,11648,Viên,3.8826666666666667,3.8826666666666667,116.48,estimated,3000.0
03.L1.3060.7635.6,Gạch 30x60 MS 7635 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,224,Viên,0.1,0.1,3.0,estimated,2240.0
03.L1.3060.7636.6,Gạch 30x60 MS 7636 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,224,Viên,0.1,0.1,3.0,estimated,2240.0
03.L1.3060.7637.5,Gạch 30x60 MS 7637 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1283,Viên,0.4276666666666667,0.4276666666666667,12.83,estimated,3000.0
03.L1.3060.7637.6,Gạch 30x60 MS 7637 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2158,Viên,0.7193333333333334,0.7193333333333334,21.580000000000002,estimated,3000.0
03.L1.3060.7639.6,Gạch 30x60 MS 7639 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,4914,Viên,1.6380000000000001,1.6380000000000001,49.14,estimated,3000.0
03.L1.4080.7701.1,Gạch 40x80 MS 7701 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,210,Viên,0.1,0.1,3.0,estimated,2100.0
03.L1.4080.7701.8,Gạch 40x80 MS 7701 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,934,Viên,0.31133333333333335,0.31133333333333335,9.34,estimated,3000.0
03.L1.4080.7702.8,Gạch 40x80 MS 7702 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,438,Viên,0.146,0.146,4.38,estimated,3000.0
03.L1.4080.7703.1,Gạch 40x80 MS 7703 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,66,Viên,0.1,0.1,3.0,estimated,660.0
03.L1.4080.7703.8,Gạch 40x80 MS 7703 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,303,Viên,0.101,0.101,3.0300000000000002,estimated,3000.0
03.L1.4080.7704.6,Gạch 40x80 MS 7704 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,728,Viên,0.24266666666666667,0.24266666666666667,7.28,estimated,3000.0
03.L1.4080.7705.5,Gạch 40x80 MS 7705 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,784,Viên,0.2613333333333333,0.2613333333333333,7.839999999999999,estimated,3000.0000000000005
03.L1.4080.7706.4,Gạch 40x80 MS 7706 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,602,Viên,0.2006666666666667,0.2006666666666667,6.0200000000000005,estimated,2999.9999999999995
03.L1.4080.7711.4,Gạch 40x80 MS 7711 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,952,Viên,0.3173333333333333,0.3173333333333333,9.52,estimated,3000.0000000000005
03.L1.4080.7713.4,Gạch 40x80 MS 7713 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1988,Viên,0.6626666666666666,0.6626666666666666,19.88,estimated,3000.0
03.L1.6060.8016.4,Gạch 60x60 MS 8016 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,840,Viên,0.28,0.28,8.4,estimated,2999.9999999999995
03.L1.6060.8021.3,Gạch 60x60 MS 8021 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,952,Viên,0.3173333333333333,0.3173333333333333,9.52,estimated,3000.0000000000005
03.L1.6060.8024.6,Gạch 60x60 MS 8024 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,229,Viên,0.1,0.1,3.0,estimated,2290.0
03.L1.6060.8026.8,Gạch 60x60 MS 8026 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,392,Viên,0.13066666666666665,0.13066666666666665,3.9199999999999995,estimated,3000.0000000000005
03.L1.6060.8044.3,Gạch 60x60 MS 8044 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,742,Viên,0.24733333333333332,0.24733333333333332,7.42,estimated,3000.0
03.L1.6060.8045.1,Gạch 60x60 MS 8045 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,203,Viên,0.1,0.1,3.0,estimated,2030.0
03.L1.6060.8046.1,Gạch 60x60 MS 8046 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2016,Viên,0.672,0.672,20.16,estimated,3000.0
03.L1.6060.8046.5,Gạch 60x60 MS 8046 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,98,Viên,0.1,0.1,3.0,estimated,980.0
03.L1.6060.8050.3,Gạch 60x60 MS 8050 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,556,Viên,0.18533333333333335,0.18533333333333335,5.5600000000000005,estimated,2999.9999999999995
03.L1.6060.8050.4,Gạch 60x60 MS 8050 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,98,Viên,0.1,0.1,3.0,estimated,980.0
03.L1.6060.8050.6,Gạch 60x60 MS 8050 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,625,Viên,0.20833333333333334,0.20833333333333334,6.25,estimated,3000.0
03.L1.6060.8066.6,Gạch 60x60 MS 8066 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,692,Viên,0.23066666666666666,0.23066666666666666,6.92,estimated,3000.0
03.L1.6060.8067.3,Gạch 60x60 MS 8067 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,176,Viên,0.1,0.1,3.0,estimated,1760.0
03.L1.6060.8067.4,Gạch 60x60 MS 8067 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2098,Viên,0.6993333333333334,0.6993333333333334,20.98,estimated,3000.0
03.L1.6060.8067.8,Gạch 60x60 MS 8067 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,989,Viên,0.32966666666666666,0.32966666666666666,9.89,estimated,3000.0
03.L1.6060.8068.1,Gạch 60x60 MS 8068 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,448,Viên,0.14933333333333335,0.14933333333333335,4.48,estimated,2999.9999999999995
03.L1.6060.8068.9,Gạch 60x60 MS 8068 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,593,Viên,0.19766666666666666,0.19766666666666666,5.93,estimated,3000.0
03.L1.6060.8503.1,Gạch 60x60 MS 8503 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,203,Viên,0.1,0.1,3.0,estimated,2030.0
03.L1.6060.8503.2,Gạch 60x60 MS 8503 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,336,Viên,0.112,0.112,3.36,estimated,3000.0
03.L1.6060.8504.6,Gạch 60x60 MS 8504 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,210,Viên,0.1,0.1,3.0,estimated,2100.0
03.L1.6060.8510.3,Gạch 60x60 MS 8510 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,238,Viên,0.1,0.1,3.0,estimated,2380.0
03.L1.8080.9002.9,Gạch 80x80 MS 9002 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,868,Viên,0.28933333333333333,0.28933333333333333,8.68,estimated,3000.0
03.L2.3060.7638,Gạch 30x60 MS 7638 Loại 2,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,518,Viên,0.17266666666666666,0.17266666666666666,5.18,estimated,3000.0
03.L2.3060.7639,Gạch 30x60 MS 7639 Loại 2,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1792,Viên,0.5973333333333334,0.5973333333333334,17.92,estimated,2999.9999999999995
05.L1.1580.18401.I,Gạch 15x80 MS 18401 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,476,Viên,0.15866666666666665,0.15866666666666665,4.76,estimated,3000.0000000000005
05.L1.1580.18402.E,Gạch 15x80 MS 18402 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,3710,Viên,1.2366666666666668,1.2366666666666668,37.1,estimated,2999.9999999999995
05.L1.1580.18405.I,Gạch 15x80 MS 18405 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,826,Viên,0.2753333333333333,0.2753333333333333,8.26,estimated,3000.0
05.L1.1580.18407.N,Gạch 15x80 MS 18407 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,434,Viên,0.14466666666666667,0.14466666666666667,4.34,estimated,3000.0
05.L1.1580.18409.I,Gạch 15x80 MS 18409 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2856,Viên,0.9520000000000001,0.9520000000000001,28.560000000000002,estimated,3000.0
05.L1.6060.USG66001.I,Gạch 60x60 MS USG66001 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1837,Viên,138.5,131.575,3947.2499999999995,decreasing,13.263537906137184
05.L1.6060.USG66002.I,Gạch 60x60 MS USG66002 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1213,Viên,0.4043333333333334,0.4043333333333334,12.13,estimated,2999.9999999999995
05.L1.6060.USG66003.I,Gạch 60x60 MS USG66003 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1077,Viên,0.359,0.359,10.77,estimated,3000.0
05.L1.6060.USG66004.I,Gạch 60x60 MS USG66004 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,830,Viên,0.27666666666666667,0.27666666666666667,8.3,estimated,3000.0
05.L1.8080.8682.G21,Gạch 80x80 MS 8682 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2016,Viên,0.672,0.672,20.16,estimated,3000.0
05.L1.8080.8682.H,Gạch 80x80 MS 8682 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,140,Viên,0.1,0.1,3.0,estimated,1400.0
05.L1.8080.8683.E,Gạch 80x80 MS 8683 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1111,Viên,0.3703333333333333,0.3703333333333333,11.11,estimated,3000.0000000000005
05.L1.8080.8684.H,Gạch 80x80 MS 8684 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,434,Viên,0.14466666666666667,0.14466666666666667,4.34,estimated,3000.0
05.L1.8080.8685.G,Gạch 80x80 MS 8685 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2576,Viên,0.8586666666666667,0.8586666666666667,25.76,estimated,3000.0
05.L1.8080.8686.G22,Gạch 80x80 MS 8686 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,637,Viên,0.21233333333333335,0.21233333333333335,6.37,estimated,3000.0
05.L1.8080.8686.L,Gạch 80x80 MS 8686 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,56,Viên,0.1,0.1,3.0,estimated,560.0
05.L1.8080.8693.H,Gạch 80x80 MS 8693 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,238,Viên,0.1,0.1,3.0,estimated,2380.0
05.L1.8080.8694.G,Gạch 80x80 MS 8694 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,294,Viên,0.1,0.1,3.0,estimated,2940.0
05.L1.8080.8913.F,Gạch 80x80 MS 8913 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,140,Viên,0.1,0.1,3.0,estimated,1400.0
05.L1.8080.8916.H,Gạch 80x80 MS 8916 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,854,Viên,0.2846666666666667,0.2846666666666667,8.540000000000001,estimated,3000.0
05.L1.8080.USG88001.I,Gạch 80x80 MS USG88001 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1216,Viên,0.4053333333333333,0.4053333333333333,12.16,estimated,3000.0
05.L1.8080.USG88003.I,Gạch 80x80 MS USG88003 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2058,Viên,0.686,0.686,20.580000000000002,estimated,2999.9999999999995
08.L1.15580.4212.5,Gạch 15.5x80 MS 4212 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,10034,Viên,3.344666666666667,3.344666666666667,100.34,estimated,3000.0
08.L1.15580.4213.5,Gạch 15.5x80 MS 4213 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,4946,Viên,1.6486666666666667,1.6486666666666667,49.46,estimated,3000.0
08.L1.15580.4215.5,Gạch 15.5x80 MS 4215 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,3312,Viên,1.1039999999999999,1.1039999999999999,33.12,estimated,3000.0000000000005
08.L1.15580.4216.5,Gạch 15.5x80 MS 4216 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,4599,Viên,1.5330000000000001,1.5330000000000001,45.99,estimated,2999.9999999999995
08.L1.15580.4219.5,Gạch 15.5x80 MS 4219 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2046,Viên,0.682,0.682,20.46,estimated,3000.0
08.L1.60120.3614.4,Gạch 60x120 MS 3614 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,88,Viên,0.1,0.1,3.0,estimated,880.0
08.L1.60120.3616.5,Gạch 60x120 MS 3616 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,76,Viên,0.1,0.1,3.0,estimated,760.0
08.L1.60120.3619.5,Gạch 60x120 MS 3619 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,248,Viên,0.1,0.1,3.0,estimated,2480.0
08.L1.60120.3624.5,Gạch 60x120 MS 3624 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,180,Viên,0.1,0.1,3.0,estimated,1800.0
08.L1.60120.3627.5,Gạch 60x120 MS 3627 loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,186,Viên,0.1,0.1,3.0,estimated,1860.0
10.L1.3030.5262.8,Gạch 30x30 MS 5262 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,308,Viên,0.10266666666666667,0.10266666666666667,3.08,estimated,3000.0
10.L1.3030.5263.8,Gạch 30x30 MS 5263 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,14,Viên,0.1,0.1,3.0,estimated,140.0
10.L1.3030.5265.7,Gạch 30x30 MS 5265 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,681,Viên,0.227,0.227,6.8100000000000005,estimated,3000.0
10.L1.3030.5266.5,Gạch 30x30 MS 5266 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1229,Viên,0.4096666666666667,0.4096666666666667,12.290000000000001,estimated,3000.0
10.L1.3030.5267.2,Gạch 30x30 MS 5267 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1080,Viên,0.36000000000000004,0.36000000000000004,10.8,estimated,2999.9999999999995
10.L1.3030.5268.5,Gạch 30x30 MS 5268 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,3980,Viên,1.3266666666666669,1.3266666666666669,39.800000000000004,estimated,2999.9999999999995
10.L1.3030.5294.1,Gạch 30x30 MS 5294 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,807,Viên,0.269,0.269,8.07,estimated,3000.0
10.L1.3030.5294.2,Gạch 30x30 MS 5294 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,242,Viên,0.1,0.1,3.0,estimated,2420.0
10.L1.3030.5295.5,Gạch 30x30 MS 5295 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1243,Viên,0.41433333333333333,0.41433333333333333,12.43,estimated,3000.0
10.L1.3060.4501.3,Gạch 30x60 MS 4501 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,4975,Viên,1.6583333333333334,1.6583333333333334,49.75,estimated,3000.0
10.L1.3060.4501.5,Gạch 30x60 MS 4501 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,7560,Viên,2.5200000000000005,2.5200000000000005,75.60000000000001,estimated,2999.9999999999995
10.L1.3060.4502.5,Gạch 30x60 MS 4502 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,3794,Viên,1.2646666666666666,1.2646666666666666,37.94,estimated,3000.0
10.L1.3060.4504.1,Gạch 30x60 MS 4504 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1699,Viên,0.5663333333333334,0.5663333333333334,16.990000000000002,estimated,3000.0
10.L1.3060.4505.6,Gạch 30x60 MS 4505 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,210,Viên,0.1,0.1,3.0,estimated,2100.0
10.L1.3060.4506.2,Gạch 30x60 MS 4506 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,462,Viên,0.154,0.154,4.62,estimated,3000.0
10.L1.3060.4506.3,Gạch 30x60 MS 4506 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,77,Viên,0.1,0.1,3.0,estimated,770.0
10.L1.3060.4521.5,Gạch 30x60 MS 4521 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2375,Viên,0.7916666666666666,0.7916666666666666,23.75,estimated,3000.0
10.L1.3060.4537.4,Gạch 30x60 MS 4537 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,12012,Viên,4.0040000000000004,4.0040000000000004,120.12000000000002,estimated,2999.9999999999995
10.L1.3060.4538.4,Gạch 30x60 MS 4538 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,910,Viên,0.30333333333333334,0.30333333333333334,9.1,estimated,3000.0
